Region,I: Electron Density SCF,,,,I: Volume,,,
Atomic basin decomposition,NEF,EEF X-,∆,%∆,NEF,EEF X-,∆,%∆
      ↳ H3 bond wedge,0.94551411,1.01126230,0.06574819,6.95369739,47.80125100,52.69499600,4.89374500,10.23769231,
C4 — H1 bond bundle,2.74253822,2.75878140,0.01624318,0.59226814,78.69684900,77.99127400,-0.70557500,-0.89657338,
      ↳ C4 bond wedge,1.80528120,1.82605700,0.02077580,1.15083456,30.69610200,30.33848100,-0.35762100,-1.16503718,
      ↳ H1 bond wedge,0.93725702,0.93272440,-0.00453262,-0.48360481,48.00074700,47.65279300,-0.34795400,-0.72489289,
C4 — H2 bond bundle,2.80308009,2.79302593,-0.01005416,-0.35868258,78.39577200,74.93434100,-3.46143100,-4.41532867,
      ↳ C4 bond wedge,1.85456330,1.90648850,0.05192520,2.79986129,30.57130900,31.10647800,0.53516900,1.75055965,
      ↳ H2 bond wedge,0.94851679,0.88653743,-0.06197936,-6.53434506,47.82446300,43.82786300,-3.99660000,-8.35681103,
Total,29.76634404,29.76556906,-0.00077498,-0.00260354,650.31835200,650.85455600,0.53620400,0.08245254,

Max basin decomposition according to INS: Volume
C1: Max (node 6104) → C1: Max (node 6146) in NEF (0.99999703),2.33827080,2.50055630,0.16228550,6.94040656,35.40367500,38.93284200,3.52916700,9.96836345,
C1: Max (node 6130) → C1: Max (node 6170) in NEF (0.99999884),1.87933320,1.72184750,-0.15748570,-8.37987112,30.49662500,28.51602900,-1.98059600,-6.49447603,
C1: Max (node 6156) → C1: Max (node 6194) in NEF (0.99999986),1.79169420,1.81552320,0.02382900,1.32997026,29.57185400,30.29883300,0.72697900,2.45834772,
C2: Max (node 6100) → C2: Max (node 6158) in NEF (0.99999899),1.61958060,1.69671740,0.07713680,4.76276389,18.98925800,19.72996900,0.74071100,3.90068427,
C2: Max (node 6122) → C2: Max (node 6114) in NEF (0.99999548),1.65726770,1.77133540,0.11406770,6.88287716,25.13137200,27.16088700,2.02951500,8.07562357,
C2: Max (node 6148) → C2: Max (node 6134) in NEF (0.99999304),2.76611390,2.54590440,-0.22020950,-7.96097008,41.65884000,36.89415600,-4.76468400,-11.43739000,
C3: Max (node 6100) → C2: Max (node 6158) in NEF (0.99999899),1.61958060,1.69671740,0.07713680,4.76276389,18.98925800,19.72996900,0.74071100,3.90068427,
