Region,I: Electron Density SCF,,,,I: Volume,,,
Atomic basin decomposition,NEF,EEF Z,∆,%∆,NEF,EEF Z,∆,%∆
Max basin decomposition according to INS: Volume
C1: Max (node 6104) → C1: Max (node 6146) in NEF (0.99999980),2.53092980,2.50055630,-0.03037350,-1.20009255,39.67287100,38.93284200,-0.74002900,-1.86532757,
C1: Max (node 6126) → C1: Max (node 6170) in NEF (0.99999825),1.75650350,1.72184750,-0.03465600,-1.97301059,28.70340900,28.51602900,-0.18738000,-0.65281444,
C1: Max (node 6142) → C1: Max (node 6194) in NEF (0.99999845),1.75086770,1.81552320,0.06465550,3.69276902,29.62229900,30.29883300,0.67653400,2.28386730,
C2: Max (node 6110) → C2: Max (node 6158) in NEF (0.99999913),1.67636950,1.69671740,0.02034790,1.21380758,19.65786400,19.72996900,0.07210500,0.36679977,
C2: Max (node 6134) → C2: Max (node 6114) in NEF (0.99999947),1.78640590,1.77133540,-0.01507050,-0.84362126,27.23881100,27.16088700,-0.07792400,-0.28607710,
C2: Max (node 6166) → C2: Max (node 6134) in NEF (0.99999984),2.55271860,2.54590440,-0.00681420,-0.26693894,37.21253100,36.89415600,-0.31837500,-0.85555858,
C3: Max (node 6110) → C2: Max (node 6158) in NEF (0.99999913),1.67636950,1.69671740,0.02034790,1.21380758,19.65786400,19.72996900,0.07210500,0.36679977,
C3: Max (node 6134) → C2: Max (node 6114) in NEF (0.99999947),1.78640590,1.77133540,-0.01507050,-0.84362126,27.23881100,27.16088700,-0.07792400,-0.28607710,
C3: Max (node 6166) → C2: Max (node 6134) in NEF (0.99999984),2.55271860,2.54590440,-0.00681420,-0.26693894,37.21253100,36.89415600,-0.31837500,-0.85555858,
C4: Max (node 6104) → C1: Max (node 6146) in NEF (0.99999980),2.53092980,2.50055630,-0.03037350,-1.20009255,39.67287100,38.93284200,-0.74002900,-1.86532757,
C4: Max (node 6126) → C1: Max (node 6170) in NEF (0.99999825),1.75650350,1.72184750,-0.03465600,-1.97301059,28.70340900,28.51602900,-0.18738000,-0.65281444,
C4: Max (node 6142) → C1: Max (node 6194) in NEF (0.99999845),1.75086770,1.81552320,0.06465550,3.69276902,29.62229900,30.29883300,0.67653400,2.28386730,
H1: Max (node 5446) → H5: Max (node 5486) in NEF (1.00000000),0.93638438,0.93725702,0.00087264,0.09319250,47.99532900,48.00074700,0.00541800,0.01128860,
H2: Max (node 5450) → H6: Max (node 5470) in NEF (1.00000000),0.94771464,0.94851679,0.00080215,0.08464046,47.82452400,47.82446300,-0.00006100,-0.00012755,
