Region,I: Electron Density SCF,,,,I: Volume,,,
Atomic basin decomposition,NEF,EEF Y,∆,%∆,NEF,EEF Y,∆,%∆
      ↳ C1 bond wedge,1.85456330,1.79638750,-0.05817580,-3.13690021,30.57130900,28.53119300,-2.04011600,-6.67330274,
      ↳ H6 bond wedge,0.94851679,0.94468449,-0.00383230,-0.40403080,47.82446300,47.39990400,-0.42455900,-0.88774442,
C2 — C3 bond bundle,3.67537320,3.70106870,0.02569550,0.69912628,43.36375600,44.04871100,0.68495500,1.57955644,
      ↳ C2 bond wedge,1.83768660,1.71729200,-0.12039460,-6.55142177,21.68187800,20.15581500,-1.52606300,-7.03842628,
      ↳ C3 bond wedge,1.83768660,1.98377670,0.14609010,7.94967434,21.68187800,23.89289600,2.21101800,10.19753916,
C2 — H4 bond bundle,2.76018961,2.78888650,0.02869689,1.03967097,75.76085400,75.31704300,-0.44381100,-0.58580517,
      ↳ C2 bond wedge,1.81467550,1.87015250,0.05547700,3.05713060,27.95960300,29.26410800,1.30450500,4.66567784,
      ↳ H4 bond wedge,0.94551411,0.91873400,-0.02678011,-2.83233319,47.80125100,46.05293500,-1.74831600,-3.65746913,
C3 — C4 bond bundle,4.73967750,4.80849540,0.06881790,1.45195322,70.62382300,73.54615400,2.92233100,4.13788277,
      ↳ C3 bond wedge,2.36159510,2.25398040,-0.10761470,-4.55686498,34.14353000,31.80464500,-2.33888500,-6.85015580,
      ↳ C4 bond wedge,2.37808240,2.55451500,0.17643260,7.41911214,36.48029300,41.74150900,5.26121600,14.42207715,
C3 — H3 bond bundle,2.76018961,2.73402428,-0.02616533,-0.94795408,75.76085400,76.22497700,0.46412300,0.61261585,
      ↳ C3 bond wedge,1.81467550,1.76428270,-0.05039280,-2.77695930,27.95960300,26.69668800,-1.26291500,-4.51692751,
      ↳ H3 bond wedge,0.94551411,0.96974158,0.02422747,2.56235943,47.80125100,49.52828900,1.72703800,3.61295565,
C4 — H1 bond bundle,2.74253822,2.71204260,-0.03049562,-1.11194877,78.69684900,83.46331700,4.76646800,6.05674568,
      ↳ C4 bond wedge,1.80528120,1.69298940,-0.11229180,-6.22018332,30.69610200,29.29430100,-1.40180100,-4.56670687,
      ↳ H1 bond wedge,0.93725702,1.01905320,0.08179618,8.72718777,48.00074700,54.16901600,6.16826900,12.85036043,
C4 — H2 bond bundle,2.80308009,2.79450368,-0.00857641,-0.30596379,78.39577200,79.73731600,1.34154400,1.71124535,
      ↳ C4 bond wedge,1.85456330,1.84574630,-0.00881700,-0.47542190,30.57130900,31.56800300,0.99669400,3.26022677,
      ↳ H2 bond wedge,0.94851679,0.94875738,0.00024059,0.02536486,47.82446300,48.16931300,0.34485000,0.72107448,
Total,29.76634404,29.76381774,-0.00252630,-0.00848710,650.31835200,651.85080400,1.53245200,0.23564643,

