Region,I: Electron Density SCF,,,,I: Volume,,,
Atomic basin decomposition,NEF,EEF X+,∆,%∆,NEF,EEF X+,∆,%∆
C4: Min (node 5024) → C1: Min (node 766) in NEF (0.99999840),2.25302540,2.46481060,0.21178520,9.40003606,41.51146300,44.33388800,2.82242500,6.79914606,
H1: Min (node 4624) → H5: Min (node 4667) in NEF (1.00000000),0.93910533,0.93725702,-0.00184831,-0.19681605,48.24948800,48.00074700,-0.24874100,-0.51553086,
H2: Min (node 2921) → H6: Min (node 1025) in NEF (0.99999956),0.73680177,0.75509663,0.01829486,2.48300978,41.00352300,40.14087000,-0.86265300,-2.10385093,
H2: Min (node 3688) → H6: Min (node 1504) in NEF (0.99999953),0.27435188,0.19342016,-0.08093172,-29.49924017,11.36421800,7.68359360,-3.68062440,-32.38783698,
H3: Min (node 4264) → H4: Min (node 1877) in NEF (0.99999884),0.88048678,0.94551411,0.06502733,7.38538403,43.52506700,47.80125100,4.27618400,9.82464657,
H4: Min (node 4264) → H4: Min (node 1877) in NEF (0.99999884),0.88048678,0.94551411,0.06502733,7.38538403,43.52506700,47.80125100,4.27618400,9.82464657,
H5: Min (node 4624) → H5: Min (node 4667) in NEF (1.00000000),0.93910533,0.93725702,-0.00184831,-0.19681605,48.24948800,48.00074700,-0.24874100,-0.51553086,
H6: Min (node 2921) → H6: Min (node 1025) in NEF (0.99999956),0.73680177,0.75509663,0.01829486,2.48300978,41.00352300,40.14087000,-0.86265300,-2.10385093,
H6: Min (node 3688) → H6: Min (node 1504) in NEF (0.99999953),0.27435188,0.19342016,-0.08093172,-29.49924017,11.36421800,7.68359360,-3.68062440,-32.38783698,
Total,29.76387312,29.76634444,0.00247132,0.00830309,652.28106200,650.31835520,-1.96270680,-0.30089894,
Max basin decomposition according to INS: Electron Density SCF
C1: Max (node 6092) → C1: Max (node 6148) in NEF (0.99999645),2.53784600,2.40319870,-0.13464730,-5.30557410,40.39944300,37.14733000,-3.25211300,-8.04989564,
C1: Max (node 6114) → C1: Max (node 6168) in NEF (0.99999929),1.71024730,1.81715310,0.10690580,6.25089717,28.10097600,29.83720900,1.73623300,6.17855052,
C1: Max (node 6134) → C1: Max (node 6190) in NEF (0.99999877),1.81675500,1.81757520,0.00082020,0.04514643,31.42729800,30.76316500,-0.66413300,-2.11323608,
C2: Max (node 6122) → C2: Max (node 6158) in NEF (0.99999938),1.81732550,1.83640700,0.01908150,1.04997701,21.18516000,21.66698100,0.48182100,2.27433260,
C2: Max (node 6138) → C2: Max (node 6118) in NEF (0.99999941),1.89576340,1.81723800,-0.07852540,-4.14215192,29.00903900,27.90821700,-1.10082200,-3.79475515,
C2: Max (node 6172) → C2: Max (node 6134) in NEF (0.99999350),2.27325370,2.36031220,0.08705850,3.82968694,31.87631900,34.20981300,2.33349400,7.32046257,
C3: Max (node 6122) → C2: Max (node 6158) in NEF (0.99999938),1.81732550,1.83640700,0.01908150,1.04997701,21.18516000,21.66698100,0.48182100,2.27433260,
C3: Max (node 6138) → C2: Max (node 6118) in NEF (0.99999941),1.89576340,1.81723800,-0.07852540,-4.14215192,29.00903900,27.90821700,-1.10082200,-3.79475515,
C3: Max (node 6172) → C2: Max (node 6134) in NEF (0.99999350),2.27325370,2.36031220,0.08705850,3.82968694,31.87631900,34.20981300,2.33349400,7.32046257,
C4: Max (node 6092) → C1: Max (node 6148) in NEF (0.99999645),2.53784600,2.40319870,-0.13464730,-5.30557410,40.39944300,37.14733000,-3.25211300,-8.04989564,
C4: Max (node 6114) → C1: Max (node 6168) in NEF (0.99999929),1.71024730,1.81715310,0.10690580,6.25089717,28.10097600,29.83720900,1.73623300,6.17855052,
C4: Max (node 6134) → C1: Max (node 6190) in NEF (0.99999877),1.81675500,1.81757520,0.00082020,0.04514643,31.42729800,30.76316500,-0.66413300,-2.11323608,
